video_id,title_or_short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,hook_style,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,profile_visits,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count
,Volunteer Programs That Can Help Your Visa,21/11/2025,18:06,Friday,visa / volunteer abroad,text_overlay,value,8.87,26402,627,284,192,357,,290,28.13%,6.4,volunteerabroad,scholarshipopportinities,visasponsorship,5
,fully funded scholarship in germany 2026/2027,20/11/2025,19:31,Thursday,fully funded scholarship in Germany,voiceover,fomo,53.92,21983,968,269,231,489,,288,6.15%,11.9,germanyscholarship,studyabroad,creatorsearchinsight,5
,Austrialia 5- year visa ,22/11/2025,8:51,Saturday,visa /workvisa,text_overlay,value,6.6,12824,142,110,27,43,,73,33.99%,5.8,australiavisa,jobsponsorship,australiaimmigration,5
,Looking to move to Austria,22/11/2025,19:30,Saturday,study / summer school,voiceover,fomo,41.4,12106,500,261,106,173,,242,11.47%,14.1,studyinaustria,austriavisa,europecommunities,5
,Australia 5 years visa requirements ,23/11/2025,21:32,Sunday,visa /workvisa,voiceover,fomo,43.8,5746,200,59,25,87,,79,6.91%,11.7,australia491visa,migrationtips,visaopportunities,5
,fully funded fellowship in Italy,24/11/2025,13:48,Monday,conference/fellowship,text overlay,value,7.7,3555,83,49,10,44,,15,20.46%,5,fully funded,careerabroad,scholarshipalert,5
,Austrialia 5- year visa EOI ,24/11/2025,19:59,Monday,visa /workvisa,screen_recording,tutorial,46.11,2537,95,9,29,55,,18,5.84%,9,australiavisa,australia5yearvisa,australiaimmigration,5
,Paid Internship,22/11/2025,13:37,Saturday,Paid Internship,text_overlay,value,8.27,1339,37,8,1,10,,6,21.37%,5,stem,paidintership,creatorsearchinsight,5
,top reason visa got rejected,21/11/2025,10:49,Friday,visa,text_overlay,fomo,6.5,1218,23,2,0,2,,1,22.73%,5.1,migrationtips,europejobs,visarejection,5
,Canada visa sponsorship,21/11/2025,10:50,Friday,visa /workvisa,voiceover,question,52.5,1685,51,41,15,24,,28,9.52%,14,visasponsorship,canadajobs,creatorsearchinsight,5